   0.24730	  -0.75062	   0.09000	   0.10305
   0.95488	  -1.62296	  -0.40178	  -0.64020
  -0.58210	   0.90170	   0.47433	   0.19801
   0.20265	  -1.95130	  -0.23406	  -0.12831
   0.20212	   1.95833	  -0.68089	   0.18299
   0.86032	  -0.87455	   0.48751	   0.09172
  -1.76873	  -0.47118	   0.08112	  -0.03387
  -0.45675	   1.13050	  -0.13070	   0.16961
   1.03555	  -0.22065	   0.19940	   0.12981
  -0.30503	   0.81651	  -0.11599	  -0.42174
   0.91326	   1.48215	   0.04772	  -0.10298
   0.72391	   1.16907	   0.24785	  -0.37960
  -1.07387	   1.57189	   0.12072	   0.21389
  -1.50908	  -1.47284	  -0.24084	   0.02135
   0.60004	  -0.84021	  -0.24096	   0.46454
   1.35742	  -1.85559	  -0.15392	  -0.29208
   0.58706	   0.67544	   0.14457	  -0.20113
  -0.29618	   1.40258	  -0.41272	   0.10448
   0.04442	  -0.69482	   0.21317	   0.23790
   0.87268	   0.87434	   0.04800	  -0.03784
   0.52601	   0.76063	   0.00780	   0.13900
  -0.73871	  -0.49857	   0.04711	   0.07339
   0.19784	  -1.18908	  -0.08737	  -0.07791
   0.32070	  -1.20499	  -0.17134	   0.10050
  -1.32663	   1.07933	   0.26006	  -0.64618
  -1.53090	  -1.27201	   0.38282	  -0.03183
   0.31474	   0.40058	  -0.10798	  -0.17663
   0.89710	   1.42538	  -0.06705	  -0.09643
   0.81579	  -1.95796	  -0.01011	  -0.00562
   0.58202	  -1.12317	  -0.55952	   0.05263
  -0.72774	   1.56731	   0.22783	   0.02401
   0.29737	   0.92088	  -0.06732	  -0.06299
  -1.11626	   0.70175	  -0.69260	   0.25153
  -1.11797	   1.81365	   0.68383	  -0.20872
   1.16923	  -0.18560	   0.57992	  -0.34367
   1.06295	  -1.97156	  -0.16239	  -0.37768
   0.55728	  -0.15140	   0.12519	  -0.13363
   1.03458	  -1.18322	   0.10455	   0.08920
   0.26972	   1.36616	   0.13434	   0.43814
  -0.72765	  -1.38357	  -0.05387	   0.03994
  -1.52781	  -1.05718	   0.42501	   0.02364
